transaction_id,date,time,branch_name,district,channel,transaction_type,card_type,account_type,amount_npr,response_code,response_message,transaction_status,customer_age,customer_gender,processing_time_ms
TXN0000020,2024-01-02,10:17:04,Lalitpur Branch,Lalitpur,Mobile Banking,Balance Inquiry,N/A,Current,0.0,91,Issuer Unavailable,Failed,18,Male,481
TXN0000021,2024-01-02,10:48:34,Dhangadhi Branch,Kailali,ATM,Mini Statement,Credit Card,Fixed Deposit,0.0,00,Approved,Success,43,Female,1599
TXN0000022,2024-01-02,10:52:20,Kathmandu Main,Kathmandu,ATM,PIN Change,Debit Card,Savings,0.0,51,Insufficient Funds,Timeout,34,Female,80
TXN0000023,2024-01-02,11:15:54,New Baneshwor,Kathmandu,Mobile Banking,QR Payment,N/A,Current,2757.07,00,Approved,Success,35,Female,602
TXN0000024,2024-01-02,12:44:41,Lalitpur Branch,Lalitpur,ATM,Mini Statement,Prepaid Card,Savings,0.0,00,Approved,Success,30,Male,915
TXN0000025,2024-01-02,13:18:28,Bharatpur Branch,Chitwan,Mobile Banking,Bill Payment,N/A,Savings,5536.29,00,Approved,Success,18,Male,90
TXN0000026,2024-01-02,15:15:42,Butwal Branch,Rupandehi,POS,Refund,Prepaid Card,Savings,5250.77,00,Approved,Success,33,Female,656
TXN0000027,2024-01-02,18:18:05,Kathmandu Main,Kathmandu,Mobile Banking,QR Payment,N/A,Savings,4545.09,00,Approved,Success,26,Female,737
TXN0000028,2024-01-02,18:43:24,Biratnagar Main,Morang,ATM,Balance Inquiry,Debit Card,Savings,0.0,00,Approved,Success,33,Male,593
TXN0000029,2024-01-02,19:05:11,Nepalgunj Branch,Banke,Internet Banking,Fund Transfer,N/A,Savings,23507.72,00,Approved,Success,27,Male,293
TXN0000030,2024-01-02,22:23:25,Nepalgunj Branch,Banke,ATM,Balance Inquiry,Debit Card,Savings,0.0,00,Approved,Success,28,Male,825
TXN0000030,2024-01-02,22:23:25,Nepalgunj Branch,Banke,ATM,Balance Inquiry,Debit Card,Savings,0.0,00,Approved,Success,28,Male,825
TXN0000031,2024-01-03,02:48:19,Dhangadhi Branch,Kailali,ATM,Cash Withdrawal,Debit Card,Current,3000.0,00,Approved,Success,48,Female,1338
TXN0000032,2024-01-03,04:16:32,Dhangadhi Branch,Kailali,Internet Banking,Statement Download,N/A,Savings,0.0,00,Approved,Success,46,Male,447
TXN0000033,2024-01-03,11:12:43,JANAKPUR BRANCH,Dhanusha,ATM,PIN Change,Debit Card,Savings,0.0,51,Insufficient Funds,Failed,45,Male,1427
TXN0000034,2024-01-03,12:15:05,Nepalgunj Branch,Banke,POS,Purchase,Debit Card,Savings,7612.82,00,Approved,Success,18,,880
TXN0000035,2024-01-03,12:19:47,Birgunj Branch,Parsa,ATM,Balance Inquiry,Debit Card,Savings,0.0,00,Approved,Success,28,Female,1281
TXN0000036,2024-01-03,13:47:54,Nepalgunj Branch,Banke,POS,Refund,Debit Card,Savings,3163.16,00,Approved,Success,22,Male,829
TXN0000037,2024-01-03,14:27:04,Kathmandu Main,Kathmandu,Mobile Banking,Fund Transfer,N/A,Savings,15290.27,00,Approved,Success,50,Male,224
TXN0000038,2024-01-03,14:48:53,Lalitpur Branch,Lalitpur,Mobile Banking,Mobile Top-up,N/A,Savings,50.0,00,Approved,Success,22,Male,488
TXN0000039,2024-01-03,15:57:04,Butwal Branch,Rupandehi,POS,Purchase,Debit Card,Savings,1284.12,00,Approved,Success,18,Male,492
TXN0000040,2024-01-03,16:51:49,Dhangadhi Branch,Kailali,Mobile Banking,Bill Payment,N/A,Fixed Deposit,9807.2,00,Approved,Success,18,Female,713
TXN0000041,2024-01-03,16:56:38,Butwal Branch,Rupandehi,ATM,PIN Change,Debit Card,Savings,0.0,00,Approved,Success,24,Female,717
TXN0000041,2024-01-03,16:56:38,Butwal Branch,Rupandehi,ATM,PIN Change,Debit Card,Savings,0.0,00,Approved,Success,24,Female,717
TXN0000042,2024-01-03,18:09:45,Butwal Branch,Rupandehi,ATM,PIN Change,Credit Card,Savings,0.0,00,Approved,Success,52,Female,1194
TXN0000043,2024-01-03,19:21:19,Birgunj Branch,Parsa,Mobile Banking,Fund Transfer,N/A,Current,79609.93,00,Approved,Success,47,Female,836
TXN0000044,2024-01-03,20:25:38,New Baneshwor,Kathmandu,Mobile Banking,Balance Inquiry,N/A,Savings,0.0,00,Approved,Success,43,Male,743
TXN0000045,2024-01-03,20:42:32,Hetauda Branch,Makwanpur,ATM,PIN Change,Prepaid Card,Savings,0.0,00,Approved,Success,27,Male,1210
TXN0000046,2024-01-03,23:08:25,Dharan Branch,Sunsari,Branch Counter,Cash Withdrawal,N/A,Savings,3000.0,00,Approved,Success,50,Male,379
TXN0000047,2024-01-04,04:01:12,Bharatpur Branch,Chitwan,ATM,Cash Withdrawal,Debit Card,Savings,2500.0,00,Approved,Success,18,Female,551
TXN0000048,2024-01-04,05:37:34,Dharan Branch,Sunsari,Mobile Banking,QR Payment,N/A,Savings,1379.61,51,Insufficient Funds,Reversed,49,Female,450
TXN0000049,2024-01-04,08:50:02,New Baneshwor,Kathmandu,ATM,Cash Withdrawal,Prepaid Card,Savings,500.0,00,Approved,Success,48,Female,1087
TXN0000050,2024-01-04,08:58:47,Kathmandu Main,Kathmandu,ATM,Mini Statement,Debit Card,Savings,0.0,00,Approved,Success,48,Male,1246
TXN0000051,2024-01-04,09:57:14,Nepalgunj Branch,Banke,Mobile Banking,QR Payment,N/A,Savings,2740.66,00,Approved,Success,52,Male,290
TXN0000052,2024-01-04,12:46:19,Dharan Branch,Sunsari,Mobile Banking,Mobile Top-up,N/A,Savings,100.0,00,Approved,Success,29,Male,732
TXN0000053,2024-01-04,13:01:27,Janakpur Branch,Dhanusha,POS,Refund,Debit Card,Savings,8581.98,00,Approved,Success,48,Female,660
TXN0000054,2024-01-04,13:52:55,Pokhara Lakeside,Kaski,ATM,PIN Change,Debit Card,Savings,0.0,00,Approved,Success,24,Male,945
TXN0000055,2024-01-04,14:14:39,Nepalgunj Branch,Banke,ATM,Balance Inquiry,Debit Card,Savings,0.0,00,Approved,Success,65,Female,1483
TXN0000056,2024-01-04,16:46:12,Itahari Branch,Sunsari,Branch Counter,Cash Deposit,N/A,Savings,117695.81,00,Approved,Success,38,Female,639
TXN0000057,2024-01-04,17:21:21,Biratnagar Main,Morang,ATM,Mini Statement,Debit Card,Savings,0.0,00,Approved,Success,30,Female,874
TXN0000058,2024-01-04,23:43:55,Butwal Branch,Rupandehi,ATM,Mini Statement,Credit Card,Savings,0.0,00,Approved,Success,39,Female,1500
TXN0000059,2024-01-05,00:11:02,New Baneshwor,Kathmandu,ATM,PIN Change,Debit Card,Current,0.0,00,Approved,Success,32,Male,982
TXN0000060,2024-01-05,01:22:13,Pokhara Lakeside,Kaski,ATM,PIN Change,Debit Card,Current,0.0,00,Approved,Success,33,Male,1183
TXN0000061,2024-01-05,04:39:18,Lalitpur Branch,Lalitpur,ATM,Mini Statement,Debit Card,Savings,0.0,00,Approved,Success,33,Male,1576
TXN0000062,2024-01-05,05:47:59,Bhaktapur Branch,Bhaktapur,ATM,Mini Statement,Debit Card,Savings,0.0,00,Approved,Success,43,Female,878
TXN0000063,2024-01-05,07:45:18,New Baneshwor,Kathmandu,Mobile Banking,Balance Inquiry,N/A,Savings,0.0,00,Approved,Success,18,Male,402
TXN0000064,2024-01-05,08:33:43,Butwal Branch,Rupandehi,POS,Purchase,Debit Card,Savings,14503.14,00,Approved,Success,43,Female,902
TXN0000065,2024-01-05,10:30:44,Hetauda Branch,Makwanpur,Mobile Banking,QR Payment,N/A,Savings,3620.04,00,Approved,Success,20,Male,900
TXN0000066,2024-01-05,10:46:17,Kathmandu Main,Kathmandu,Mobile Banking,Mobile Top-up,N/A,Savings,50.0,00,Approved,Success,29,Female,1150
TXN0000067,2024-01-05,11:23:44,Nepalgunj Branch,Banke,Branch Counter,Account Opening,N/A,Current,0.0,00,Approved,Success,41,Male,686
TXN0000068,2024-01-05,12:33:09,Lalitpur Branch,Lalitpur,Mobile Banking,QR Payment,N/A,Current,1490.03,00,Approved,Success,53,Male,208
TXN0000069,2024-01-05,13:10:09,Itahari Branch,Sunsari,ATM,PIN Change,Prepaid Card,Current,0.0,00,Approved,Success,18,Female,1122
TXN0000070,2024-01-05,13:53:38,Kathmandu Main,Kathmandu,ATM,Balance Inquiry,Debit Card,Fixed Deposit,0.0,00,Approved,Success,51,Male,1631
TXN0000071,2024-01-05,14:13:20,Kathmandu Main,Kathmandu,POS,Refund,Debit Card,Savings,6792.29,00,Approved,Success,18,Female,379
TXN0000072,2024-01-05,15:02:21,Biratnagar Main,Morang,ATM,Balance Inquiry,Debit Card,Savings,0.0,00,Approved,Success,47,Female,80
TXN0000073,2024-01-05,15:57:27,Butwal Branch,Rupandehi,Branch Counter,Cash Deposit,N/A,Current,141524.8,00,Approved,Success,26,Female,510
TXN0000074,2024-01-05,16:28:51,Hetauda Branch,Makwanpur,ATM,PIN Change,Debit Card,Current,0.0,00,Approved,Success,30,Male,1385
TXN0000075,2024-01-05,16:36:32,Itahari Branch,Sunsari,POS,Refund,Debit Card,Savings,9481.94,00,Approved,Success,45,Male,980
TXN0000076,2024-01-05,17:21:12,Bharatpur Branch,Chitwan,POS,Purchase,Debit Card,Current,8435.8,00,Approved,Success,18,Male,1169
TXN0000077,2024-01-05,19:35:33,Biratnagar Main,Morang,Mobile Banking,Fund Transfer,N/A,Current,34402.25,00,Approved,Success,38,Female,708
TXN0000078,2024-01-05,19:58:28,Birgunj Branch,Parsa,ATM,Mini Statement,Debit Card,Savings,0.0,00,Approved,Success,25,Male,1798
TXN0000079,2024-01-06,02:42:42,Hetauda Branch,Makwanpur,ATM,Mini Statement,Debit Card,Savings,0.0,00,Approved,Success,18,Female,1601
TXN0000080,2024-01-06,04:03:44,Nepalgunj Branch,Banke,ATM,Balance Inquiry,Credit Card,Savings,0.0,00,Approved,Success,32,Female,1386
TXN0000081,2024-01-06,07:22:40,Dhangadhi Branch,Kailali,ATM,Balance Inquiry,Prepaid Card,Savings,0.0,00,Approved,Success,18,Female,1157
TXN0000082,2024-01-06,09:51:14,Dhangadhi Branch,Kailali,Mobile Banking,Balance Inquiry,N/A,Savings,0.0,00,Approved,Success,36,Male,654
TXN0000083,2024-01-06,09:51:51,Bhaktapur Branch,Bhaktapur,POS,Refund,Debit Card,Savings,7849.44,00,Approved,Success,31,Female,561
TXN0000084,2024-01-06,09:53:03,Nepalgunj Branch,Banke,ATM,Balance Inquiry,Debit Card,Savings,0.0,00,Approved,Success,48,Female,627
TXN0000085,2024-01-06,10:50:06,Bharatpur Branch,Chitwan,Internet Banking,Fund Transfer,N/A,Fixed Deposit,54445.05,00,Approved,Success,48,Female,553
TXN0000086,2024-01-06,14:06:06,Janakpur Branch,Dhanusha,POS,Refund,Debit Card,Savings,1102.65,00,Approved,Success,33,Female,548
TXN0000087,2024-01-06,16:38:33,Bharatpur Branch,Chitwan,Mobile Banking,Fund Transfer,N/A,Savings,68609.97,00,Approved,Success,34,Female,439
TXN0000088,2024-01-06,17:15:08,Itahari Branch,Sunsari,Internet Banking,Bill Payment,N/A,Current,11440.62,00,Approved,Success,32,Male,530
TXN0000089,2024-01-06,21:04:07,Kathmandu Main,Kathmandu,ATM,PIN Change,Debit Card,Current,0.0,00,Approved,Success,37,Female,1682
TXN0000090,2024-01-06,21:26:17,Janakpur Branch,Dhanusha,Mobile Banking,Mobile Top-up,N/A,Savings,1000.0,00,Approved,Success,26,Female,1042
TXN0000091,2024-01-06,21:51:45,Kathmandu Main,Kathmandu,ATM,Mini Statement,Credit Card,Savings,0.0,00,Approved,Success,55,Female,856
TXN0000092,2024-01-06,23:41:46,Birgunj Branch,Parsa,ATM,Balance Inquiry,Debit Card,Savings,0.0,00,Approved,Success,29,Female,1118
TXN0000093,2024-01-07,04:37:01,Janakpur Branch,Dhanusha,POS,Refund,Credit Card,Savings,4566.44,00,Approved,Success,29,Female,280
TXN0000094,2024-01-07,08:11:10,Kathmandu Main,Kathmandu,ATM,PIN Change,Credit Card,Savings,0.0,00,Approved,Success,35,Female,1113
TXN0000095,2024-01-07,08:29:05,Birgunj Branch,Parsa,ATM,Balance Inquiry,Prepaid Card,Savings,0.0,00,Approved,Success,39,Female,1081
TXN0000096,2024-01-07,08:29:54,Biratnagar Main,Morang,Mobile Banking,Mobile Top-up,N/A,Savings,200.0,00,Approved,Success,37,Female,599
TXN0000097,2024-01-07,09:43:51,Janakpur Branch,Dhanusha,Internet Banking,Fund Transfer,N/A,Savings,24569.59,00,Approved,Success,18,Male,774
TXN0000098,2024-01-07,09:48:51,Kathmandu Main,Kathmandu,Internet Banking,Fund Transfer,N/A,Savings,79196.24,00,Approved,Success,42,Male,685
TXN0000099,2024-01-07,12:09:06,Itahari Branch,Sunsari,Internet Banking,Statement Download,N/A,Savings,0.0,00,Approved,Success,18,,402
TXN0000100,2024-01-07,12:47:35,Bharatpur Branch,Chitwan,Branch Counter,Fund Transfer,N/A,Current,95899.57,00,Approved,Success,30,Male,513
TXN0000101,2024-01-07,13:46:53,Birgunj Branch,Parsa,Branch Counter,Cash Deposit,N/A,Savings,183308.51,00,Approved,Success,27,Male,258
TXN0000102,2024-01-07,13:53:57,Bhaktapur Branch,Bhaktapur,POS,Purchase,Debit Card,Fixed Deposit,8722.62,00,Approved,Success,35,Male,726
TXN0000103,2024-01-07,14:50:45,Janakpur Branch,Dhanusha,Mobile Banking,Balance Inquiry,N/A,Savings,0.0,00,Approved,Success,73,Male,522
TXN0000104,2024-01-07,16:19:45,Lalitpur Branch,Lalitpur,Mobile Banking,Mobile Top-up,N/A,Savings,500.0,00,Approved,Success,39,Female,922
TXN0000105,2024-01-07,17:50:45,Hetauda Branch,Makwanpur,Internet Banking,Bill Payment,N/A,Savings,10710.28,00,Approved,Success,36,Female,516
TXN0000106,2024-01-07,20:36:49,Dhangadhi Branch,Kailali,Mobile Banking,QR Payment,N/A,Savings,2126.99,00,Approved,Success,44,Male,867
TXN0000107,2024-01-08,10:22:56,Dhangadhi Branch,Kailali,POS,Purchase,Debit Card,Savings,7376.66,00,Approved,Success,21,Male,979
TXN0000108,2024-01-08,11:00:04,Bhaktapur Branch,Bhaktapur,ATM,Cash Withdrawal,Credit Card,Savings,15000.0,00,Approved,Success,30,Female,744
TXN0000109,2024-01-08,12:31:14,Birgunj Branch,Parsa,Internet Banking,Bill Payment,N/A,Fixed Deposit,3949.14,00,Approved,Success,74,Female,940
TXN0000110,2024-01-08,13:06:42,Birgunj Branch,Parsa,ATM,Balance Inquiry,Credit Card,Savings,0.0,00,Approved,Success,40,Female,1397
TXN0000111,2024-01-08,13:06:44,New Baneshwor,Kathmandu,ATM,Balance Inquiry,Debit Card,Savings,0.0,00,Approved,Success,42,Female,1283
TXN0000112,2024-01-08,13:52:28,Bhaktapur Branch,Bhaktapur,Internet Banking,Bill Payment,N/A,Savings,3609.01,00,Approved,Success,49,Female,641
TXN0000113,2024-01-08,14:52:36,Biratnagar Main,Morang,ATM,Cash Withdrawal,Credit Card,Savings,3000.0,00,Approved,Success,18,Male,1295
TXN0000114,2024-01-08,17:47:41,Dharan Branch,Sunsari,ATM,Cash Withdrawal,Debit Card,Current,10000.0,00,Approved,Success,33,Female,1328
TXN0000115,2024-01-08,18:59:13,Birgunj Branch,Parsa,ATM,Balance Inquiry,Debit Card,Savings,0.0,00,Approved,Success,37,Male,1517
TXN0000116,2024-01-08,22:57:52,Dharan Branch,Sunsari,ATM,Mini Statement,Debit Card,Savings,0.0,00,Approved,Success,34,Male,1024
TXN0000117,2024-01-09,06:20:24,BHAKTAPUR BRANCH,Bhaktapur,ATM,Balance Inquiry,Credit Card,Current,0.0,00,Approved,Success,47,Male,698
TXN0000118,2024-01-09,09:11:26,Itahari Branch,Sunsari,Mobile Banking,Balance Inquiry,N/A,Current,0.0,00,Approved,Success,27,Male,625
TXN0000119,2024-01-09,09:12:44,Bharatpur Branch,Chitwan,Branch Counter,Fund Transfer,N/A,Savings,22327.71,00,Approved,Success,36,Female,930
TXN0000120,2024-01-09,09:30:18,Bharatpur Branch,Chitwan,ATM,Cash Withdrawal,Debit Card,Savings,2000.0,00,Approved,Success,40,Male,1315
TXN0000121,2024-01-09,09:44:05,Lalitpur Branch,Lalitpur,ATM,PIN Change,Debit Card,Savings,0.0,00,Approved,Success,33,Female,1336
TXN0000122,2024-01-09,09:57:21,Butwal Branch,Rupandehi,POS,Purchase,Debit Card,Current,4753.38,51,Insufficient Funds,Timeout,40,Male,606
TXN0000123,2024-01-09,11:23:07,Biratnagar Main,Morang,POS,Refund,Debit Card,Savings,7466.61,00,Approved,Success,20,Female,655
TXN0000124,2024-01-09,11:32:50,Nepalgunj Branch,Banke,Mobile Banking,Balance Inquiry,N/A,Savings,0.0,00,Approved,Success,29,Male,289
TXN0000125,2024-01-09,11:49:06,Itahari Branch,Sunsari,Internet Banking,Balance Inquiry,N/A,Savings,0.0,00,Approved,Success,18,Male,732
TXN0000126,2024-01-09,12:58:29,Dhangadhi Branch,Kailali,ATM,Balance Inquiry,Debit Card,Savings,0.0,55,Incorrect PIN,Timeout,40,Male,1227
TXN0000127,2024-01-09,16:42:42,Janakpur Branch,Dhanusha,POS,Refund,Debit Card,Savings,4899.03,00,Approved,Success,19,Male,536
TXN0000128,2024-01-09,17:07:24,Birgunj Branch,Parsa,ATM,Cash Withdrawal,Credit Card,Fixed Deposit,2000.0,00,Approved,Success,36,Female,1073
TXN0000129,2024-01-09,17:41:53,Biratnagar Main,Morang,POS,Purchase,Debit Card,Savings,5325.67,00,Approved,Success,36,Male,593
TXN0000130,2024-01-09,18:07:20,Janakpur Branch,Dhanusha,Mobile Banking,Balance Inquiry,N/A,Savings,0.0,00,Approved,Success,48,Female,588
TXN0000131,2024-01-09,18:59:24,Hetauda Branch,Makwanpur,POS,Refund,Debit Card,Savings,9889.8,00,Approved,Success,29,Male,425
TXN0000132,2024-01-09,22:42:52,Kathmandu Main,Kathmandu,POS,Purchase,Debit Card,Savings,7557.51,00,Approved,Success,31,Male,204
TXN0000133,2024-01-10,02:48:57,Nepalgunj Branch,Banke,Mobile Banking,QR Payment,N/A,Savings,3220.93,00,Approved,Success,18,Male,210
TXN0000134,2024-01-10,07:34:45,Pokhara Lakeside,Kaski,Internet Banking,Statement Download,N/A,Savings,0.0,00,Approved,Success,42,Female,321
TXN0000135,2024-01-10,07:56:53,Dhangadhi Branch,Kailali,ATM,PIN Change,Debit Card,Savings,0.0,00,Approved,Success,37,Female,615
TXN0000136,2024-01-10,08:11:21,Lalitpur Branch,Lalitpur,ATM,PIN Change,Credit Card,Current,0.0,00,Approved,Success,32,Male,1497
TXN0000137,2024-01-10,08:21:35,Itahari Branch,Sunsari,POS,Refund,Debit Card,Savings,6751.49,00,Approved,Success,23,Female,538
TXN0000138,2024-01-10,10:45:16,Birgunj Branch,Parsa,ATM,PIN Change,Debit Card,Savings,0.0,00,Approved,Success,40,Male,1096
TXN0000139,2024-01-10,11:16:08,Dharan Branch,Sunsari,Mobile Banking,Bill Payment,N/A,Savings,5419.82,05,Do Not Honor,Reversed,32,Female,714
TXN0000140,2024-01-10,12:03:32,Lalitpur Branch,Lalitpur,Mobile Banking,Fund Transfer,N/A,Savings,41026.07,00,Approved,Success,29,Female,465
TXN0000141,2024-01-10,13:42:31,Butwal Branch,Rupandehi,ATM,Mini Statement,Debit Card,Savings,0.0,00,Approved,Success,28,Female,938
TXN0000142,2024-01-10,14:08:49,Lalitpur Branch,Lalitpur,Mobile Banking,Balance Inquiry,N/A,Savings,0.0,61,Exceeds Withdrawal Limit,Timeout,47,Male,977
TXN0000143,2024-01-10,14:14:05,Butwal Branch,Rupandehi,ATM,Cash Withdrawal,Credit Card,Savings,10000.0,00,Approved,Success,33,Female,667
TXN0000144,2024-01-10,15:07:13,Bharatpur Branch,Chitwan,ATM,Mini Statement,Debit Card,Current,0.0,00,Approved,Success,32,Female,1340
TXN0000145,2024-01-10,15:27:41,Butwal Branch,Rupandehi,POS,Refund,Debit Card,Current,574.96,00,Approved,Success,18,Female,378
TXN0000146,2024-01-10,16:40:11,Dharan Branch,Sunsari,ATM,Mini Statement,Credit Card,Savings,0.0,00,Approved,Success,32,Male,430
TXN0000147,2024-01-10,17:30:21,Butwal Branch,Rupandehi,Mobile Banking,Mobile Top-up,N/A,Savings,1000.0,00,Approved,Success,54,Female,532
TXN0000148,2024-01-10,18:22:20,Birgunj Branch,Parsa,Internet Banking,Balance Inquiry,N/A,Savings,0.0,00,Approved,Success,52,Female,869
TXN0000149,2024-01-10,18:39:43,Dhangadhi Branch,Kailali,ATM,PIN Change,Debit Card,Current,0.0,00,Approved,Success,18,Male,1359
TXN0000150,2024-01-10,19:35:13,Bharatpur Branch,Chitwan,ATM,PIN Change,Debit Card,Savings,0.0,00,Approved,Success,21,Female,861
TXN0000151,2024-01-10,21:39:09,Bhaktapur Branch,Bhaktapur,Mobile Banking,Mobile Top-up,N/A,Savings,100.0,00,Approved,Success,27,Female,672
TXN0000152,2024-01-10,22:20:20,Janakpur Branch,Dhanusha,ATM,Balance Inquiry,Debit Card,Savings,0.0,00,Approved,Success,36,Male,533
TXN0000153,2024-01-10,22:36:46,Hetauda Branch,Makwanpur,ATM,Mini Statement,Credit Card,Savings,0.0,00,Approved,Success,36,Female,1836
TXN0000154,2024-01-11,04:25:44,Biratnagar Main,Morang,mobile banking,Mobile Top-up,N/A,Current,100.0,00,Approved,Success,19,Female,419
TXN0000155,2024-01-11,08:44:31,Biratnagar Main,Morang,Mobile Banking,Bill Payment,N/A,Savings,7459.91,00,Approved,Success,49,Male,296
TXN0000156,2024-01-11,09:24:09,Bharatpur Branch,Chitwan,Mobile Banking,Fund Transfer,N/A,Savings,51398.47,00,Approved,Success,51,Male,1028
TXN0000157,2024-01-11,10:33:16,Nepalgunj Branch,Banke,ATM,PIN Change,Debit Card,Current,0.0,00,Approved,Success,42,Female,946
TXN0000158,2024-01-11,10:51:17,Kathmandu Main,Kathmandu,ATM,PIN Change,Debit Card,Savings,0.0,00,Approved,Success,32,Female,564
TXN0000159,2024-01-11,10:52:09,Hetauda Branch,Makwanpur,POS,Purchase,Debit Card,Savings,11869.67,00,Approved,Success,21,Female,429
TXN0000160,2024-01-11,11:05:14,Kathmandu Main,Kathmandu,Mobile Banking,QR Payment,N/A,Savings,3386.06,00,Approved,Success,24,Female,994
TXN0000161,2024-01-11,11:47:05,Hetauda Branch,Makwanpur,ATM,PIN Change,Credit Card,Fixed Deposit,0.0,00,Approved,Success,50,Female,1301
TXN0000162,2024-01-11,13:54:25,Itahari Branch,Sunsari,Mobile Banking,QR Payment,N/A,Savings,4199.98,00,Approved,Success,41,Female,343
TXN0000163,2024-01-11,14:25:22,Birgunj Branch,Parsa,Internet Banking,Fund Transfer,N/A,Current,49811.15,00,Approved,Success,21,Male,457
TXN0000164,2024-01-11,16:37:14,Bhaktapur Branch,Bhaktapur,POS,Purchase,Debit Card,Savings,9509.55,00,Approved,Success,18,Female,797
TXN0000165,2024-01-11,17:19:44,Dharan Branch,Sunsari,ATM,Balance Inquiry,Debit Card,Savings,0.0,00,Approved,Success,21,Female,1022
TXN0000166,2024-01-11,18:00:52,Dhangadhi Branch,Kailali,Mobile Banking,Fund Transfer,N/A,Current,78900.77,00,Approved,Success,52,Female,607
TXN0000167,2024-01-11,18:48:42,Hetauda Branch,Makwanpur,Mobile Banking,QR Payment,N/A,Savings,1809.69,00,Approved,Success,57,Female,861
TXN0000168,2024-01-11,20:04:25,Hetauda Branch,Makwanpur,ATM,Balance Inquiry,Debit Card,Savings,0.0,00,Approved,Success,43,Female,954
TXN0000169,2024-01-12,01:22:48,New Baneshwor,Kathmandu,Mobile Banking,Mobile Top-up,N/A,Current,200.0,51,Insufficient Funds,Timeout,28,Male,401
TXN0000170,2024-01-12,07:11:55,Butwal Branch,Rupandehi,Mobile Banking,Balance Inquiry,N/A,Savings,0.0,00,Approved,Success,38,Female,639
TXN0000171,2024-01-12,09:10:11,Itahari Branch,Sunsari,Branch Counter,Cash Deposit,N/A,Savings,109590.11,00,Approved,Success,35,Female,578
TXN0000172,2024-01-12,10:06:01,Pokhara Lakeside,Kaski,ATM,Cash Withdrawal,Debit Card,Current,20000.0,00,Approved,Success,47,Male,1351
TXN0000173,2024-01-12,10:08:39,Nepalgunj Branch,Banke,POS,Refund,Debit Card,Savings,5815.28,00,Approved,Success,31,Female,1014
